"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","560","test_delete_label_returns_204","tests","2026-06-15","passed","2026-06-15","TestLabelCrud","test_issues_crud","",""
"","168","test_get_nonexistent_issue_returns_404","tests","2026-06-15","passed","2026-06-15","TestGetIssue","test_issues","",""
"","214","test_get_authenticated_user_schema_when_authed","tests","2026-06-15","passed","2026-06-15","TestAuthenticatedUser","test_user","",""
"","235","test_list_public_repos_returns_200","tests","2026-06-15","passed","2026-06-15","TestListRepositories","test_repos","",""
"","258","test_list_closed_issues_state_is_closed","tests","2026-06-15","passed","2026-06-15","TestListIssues","test_issues","",""
"","1246","test_reclose_closed_issue_stays_closed","tests","2026-06-15","passed","2026-06-15","TestWriteIdempotency","test_issues_crud","",""
"","201","test_list_issues_invalid_state_returns_422","tests","2026-06-15","passed","2026-06-15","TestListIssues","test_issues","",""
"","319","test_comment_appears_in_list","tests","2026-06-15","passed","2026-06-15","TestIssueComment","test_issues_crud","",""
"","184","test_invalid_create_payload_returns_422[issue-missing-title]","tests","2026-06-15","passed","2026-06-15","TestWriteNegativeCases","test_issues_crud","",""
"","494","test_delete_milestone_returns_204","tests","2026-06-15","passed","2026-06-15","TestMilestone","test_issues_crud","",""
"","207","test_list_public_repos_returns_list","tests","2026-06-15","passed","2026-06-15","TestListRepositories","test_repos","",""
"","839","test_update_issue_title_returns_200","tests","2026-06-15","passed","2026-06-15","TestIssueLifecycle","test_issues_crud","",""
"","205","test_get_followers_returns_200","tests","2026-06-15","passed","2026-06-15","TestUserFollowers","test_user","",""
"","302","test_close_milestone","tests","2026-06-15","passed","2026-06-15","TestMilestone","test_issues_crud","",""
"","374","test_get_public_user_type_is_user","tests","2026-06-15","passed","2026-06-15","TestPublicUser","test_user","",""
"","135","test_list_repos_for_nonexistent_user_returns_404","tests","2026-06-15","passed","2026-06-15","TestListRepositories","test_repos","",""
"","238","test_list_open_issues_state_is_open","tests","2026-06-15","passed","2026-06-15","TestListIssues","test_issues","",""
"","269","test_get_repo_topics_returns_200","tests","2026-06-15","passed","2026-06-15","TestGetRepository","test_repos","",""
"","192","test_response_content_type_is_json","tests","2026-06-15","passed","2026-06-15","TestPublicUser","test_user","",""
"","230","test_list_public_repos_schema","tests","2026-06-15","passed","2026-06-15","TestListRepositories","test_repos","",""
"","206","test_list_repos_sort_by_updated","tests","2026-06-15","passed","2026-06-15","TestListRepositories","test_repos","",""
"","218","test_get_repo_name_matches","tests","2026-06-15","passed","2026-06-15","TestGetRepository","test_repos","",""
"","239","test_created_issue_is_readable","tests","2026-06-15","passed","2026-06-15","TestIssueLifecycle","test_issues_crud","",""
"","168","test_get_public_user_returns_200","tests","2026-06-15","passed","2026-06-15","TestPublicUser","test_user","",""
"","0","test_create_milestone_returns_201","tests","2026-06-15","passed","2026-06-15","TestMilestone","test_issues_crud","",""
"","231","test_get_repo_returns_200","tests","2026-06-15","passed","2026-06-15","TestGetRepository","test_repos","",""
"","264","test_list_issues_returns_200","tests","2026-06-15","passed","2026-06-15","TestListIssues","test_issues","",""
"","655","test_assign_milestone_to_issue","tests","2026-06-15","passed","2026-06-15","TestMilestone","test_issues_crud","",""
"","229","test_get_public_user_login_matches","tests","2026-06-15","passed","2026-06-15","TestPublicUser","test_user","",""
"","174","test_get_nonexistent_repo_returns_404","tests","2026-06-15","passed","2026-06-15","TestGetRepository","test_repos","",""
"","218","test_list_repos_invalid_sort_returns_422_or_200","tests","2026-06-15","passed","2026-06-15","TestListRepositories","test_repos","",""
"","333","test_list_issue_comments_returns_200_if_issue_exists","tests","2026-06-15","skipped","2026-06-15","TestGetIssue","test_issues","",""
"","1370","test_close_then_reopen_issue","tests","2026-06-15","passed","2026-06-15","TestIssueLifecycle","test_issues_crud","",""
"","214","test_list_public_repos_are_public","tests","2026-06-15","passed","2026-06-15","TestListRepositories","test_repos","",""
"","0","test_create_label_returns_201","tests","2026-06-15","passed","2026-06-15","TestLabelCrud","test_issues_crud","",""
"","271","test_invalid_create_payload_returns_422[label-missing-name]","tests","2026-06-15","passed","2026-06-15","TestWriteNegativeCases","test_issues_crud","",""
"","652","test_comment_edit_updates_body","tests","2026-06-15","passed","2026-06-15","TestIssueComment","test_issues_crud","",""
"","177","test_get_repo_languages_returns_200","tests","2026-06-15","passed","2026-06-15","TestGetRepository","test_repos","",""
"","223","test_create_duplicate_label_returns_422","tests","2026-06-15","passed","2026-06-15","TestWriteNegativeCases","test_issues_crud","",""
"","1343","test_lock_then_unlock_issue","tests","2026-06-15","passed","2026-06-15","TestIssueLifecycle","test_issues_crud","",""
"","0","test_create_issue_returns_201","tests","2026-06-15","passed","2026-06-15","TestIssueLifecycle","test_issues_crud","",""
"","253","test_list_repos_pagination","tests","2026-06-15","passed","2026-06-15","TestListRepositories","test_repos","",""
"","322","test_list_issues_for_nonexistent_repo_returns_404","tests","2026-06-15","passed","2026-06-15","TestListIssues","test_issues","",""
"","293","test_list_issues_schema","tests","2026-06-15","skipped","2026-06-15","TestListIssues","test_issues","",""
"","679","test_update_issue_body_returns_200","tests","2026-06-15","passed","2026-06-15","TestIssueLifecycle","test_issues_crud","",""
"","358","test_update_label_returns_200","tests","2026-06-15","passed","2026-06-15","TestLabelCrud","test_issues_crud","",""
"","729","test_close_issue_returns_state_closed","tests","2026-06-15","passed","2026-06-15","TestIssueLifecycle","test_issues_crud","",""
"","663","test_remove_label_from_issue","tests","2026-06-15","passed","2026-06-15","TestIssueLabelsOnIssue","test_issues_crud","",""
"","193","test_list_public_emails_requires_auth","tests","2026-06-15","passed","2026-06-15","TestAuthenticatedUser","test_user","",""
"","228","test_list_issues_returns_list","tests","2026-06-15","passed","2026-06-15","TestListIssues","test_issues","",""
"","207","test_get_repo_contributors_returns_200_or_204","tests","2026-06-15","passed","2026-06-15","TestGetRepository","test_repos","",""
"","239","test_get_authenticated_user_returns_200_or_401","tests","2026-06-15","passed","2026-06-15","TestAuthenticatedUser","test_user","",""
"","204","test_get_public_user_response_schema","tests","2026-06-15","passed","2026-06-15","TestPublicUser","test_user","",""
"","781","test_comment_create_then_delete","tests","2026-06-15","passed","2026-06-15","TestIssueComment","test_issues_crud","",""
"","732","test_list_issues_pagination","tests","2026-06-15","passed","2026-06-15","TestListIssues","test_issues","",""
"","0","test_create_issue_with_labels_applies_them","tests","2026-06-15","passed","2026-06-15","TestIssueLifecycle","test_issues_crud","",""
"","184","test_get_following_returns_200","tests","2026-06-15","passed","2026-06-15","TestUserFollowers","test_user","",""
"","132","test_get_nonexistent_user_returns_404","tests","2026-06-15","passed","2026-06-15","TestPublicUser","test_user","",""
"","242","test_get_repo_schema","tests","2026-06-15","passed","2026-06-15","TestGetRepository","test_repos","",""
"","213","test_invalid_create_payload_returns_422[label-bad-color]","tests","2026-06-15","passed","2026-06-15","TestWriteNegativeCases","test_issues_crud","",""
"","189","test_get_followers_returns_list","tests","2026-06-15","passed","2026-06-15","TestUserFollowers","test_user","",""
"","259","test_get_repo_owner_matches","tests","2026-06-15","passed","2026-06-15","TestGetRepository","test_repos","",""
"","247","test_get_first_issue_if_exists","tests","2026-06-15","skipped","2026-06-15","TestGetIssue","test_issues","",""
"","1072","test_replace_issue_labels_with_empty_clears","tests","2026-06-15","passed","2026-06-15","TestIssueLabelsOnIssue","test_issues_crud","",""
"","330","test_list_issue_labels","tests","2026-06-15","passed","2026-06-15","TestIssueLabelsOnIssue","test_issues_crud","",""
"","175","test_patch_nonexistent_issue_returns_404","tests","2026-06-15","passed","2026-06-15","TestWriteNegativeCases","test_issues_crud","",""
